q,chkexact,chkaop,chkbl,chkall
4400,0.208768466081,0.21293361736,0.213604717618,0.215431842192
4500,0.210067369807,0.214500961189,0.215150413051,0.216899603401
4600,0.211366273532,0.215799864914,0.216449316777,0.218198507127
4700,0.212665177257,0.217098768639,0.217748220502,0.219497410852
4800,0.213964080982,0.218397672365,0.219047124227,0.220796314577
4900,0.215262984708,0.21969657609,0.220346027952,0.222095218302
5000,0.216561888433,0.220995479815,0.221644931678,0.223394122028
5100,0.217860792158,0.22229438354,0.222943835403,0.224693025753
5200,0.219159695883,0.223593287266,0.224242739128,0.225991929478
5300,0.220458599609,0.224892190991,0.225541642853,0.227290833203
5400,0.221757503334,0.226191094716,0.226840546579,0.228589736929
5500,0.223056407059,0.227489998441,0.228139450304,0.229888640654
5600,0.224355310784,0.228788902167,0.229438354029,0.231187544379
5700,0.22565421451,0.230087805892,0.230737257754,0.232486448104
5800,0.226953118235,0.231386709617,0.23203616148,0.23378535183
5900,0.22825202196,0.232685613342,0.233335065205,0.235084255555
6000,0.229550925685,0.233984517068,0.23463396893,0.23638315928
6100,0.230849829411,0.235283420793,0.235932872655,0.237682063005
6200,0.232148733136,0.236582324518,0.237231776381,0.238980966731
6300,0.233447636861,0.237881228243,0.238530680106,0.240279870456
6400,0.234746540586,0.239180131969,0.239829583831,0.241578774181
6500,0.236045444312,0.240479035694,0.241128487557,0.242877677907
6600,0.237344348037,0.241777939419,0.242427391282,0.244176581632
6700,0.238643251762,0.243076843144,0.243726295007,0.245475485357
6800,0.239942155487,0.24437574687,0.245025198732,0.246774389082
6900,0.241241059213,0.245674650595,0.246324102458,0.248073292808
7000,0.242539962938,0.24697355432,0.247623006183,0.249372196533
7100,0.243838866663,0.248272458045,0.248921909908,0.250671100258
7200,0.244778407024,0.249571361771,0.250220813633,0.251970003983
7300,0.245644342841,0.250870265496,0.251519717359,0.253268907709
7400,0.246510278658,0.252060927244,0.2526497636,0.254212777749
7500,0.247376214475,0.252926863061,0.253515699416,0.255078713566
7600,0.248242150292,0.253792798878,0.254381635233,0.255944649383
7700,0.249108086109,0.254658734695,0.25524757105,0.256810585199
7800,0.249974021925,0.255524670511,0.256113506867,0.257676521016
7900,0.250839957742,0.256390606328,0.256979442684,0.258542456833
8000,0.251705893559,0.257256542145,0.257845378501,0.25940839265
8100,0.252571829376,0.258122477962,0.258711314317,0.260274328467
8200,0.253437765193,0.258988413779,0.259577250134,0.261140264284
8300,0.25430370101,0.259854349596,0.260443185951,0.2620062001
8400,0.255169636827,0.260720285412,0.261309121768,0.262872135917
8500,0.256035572643,0.261586221229,0.262175057585,0.263738071734
8600,0.25690150846,0.262452157046,0.263040993402,0.264604007551
8700,0.257767444277,0.263318092863,0.263906929218,0.265469943368
8800,0.258633380094,0.26418402868,0.264772865035,0.266335879185
8900,0.259499315911,0.265049964497,0.265638800852,0.267201815001
9000,0.260365251728,0.265915900313,0.266504736669,0.268067750818
9100,0.261231187544,0.26678183613,0.267370672486,0.268933686635
9200,0.262097123361,0.267647771947,0.268236608303,0.269799622452
9300,0.262963059178,0.268513707764,0.269102544119,0.270665558269
9400,0.263828994995,0.269379643581,0.269968479936,0.271531494086
9500,0.264694930812,0.270245579398,0.270834415753,0.272397429902
9600,0.265560866629,0.271111515214,0.27170035157,0.273263365719
9700,0.266426802445,0.271977451031,0.272566287387,0.274129301536
9800,0.267292738262,0.272843386848,0.273432223204,0.274995237353
9900,0.268158674079,0.273709322665,0.27429815902,0.27586117317
10000,0.269024609896,0.274575258482,0.275164094837,0.276727108987
