q,chkexact,chkall,chkbl,chkaop
4000,0.173743800667,0.182127863715,0.180252189896,0.177348328542
4100,0.174901225528,0.183343843224,0.181473527556,0.178585131047
4200,0.176034458496,0.18453014435,0.182665379341,0.179794116082
4300,0.177140098589,0.185689911397,0.183830600794,0.180974962803
4400,0.178223503958,0.186820096315,0.184967972693,0.182129692545
4500,0.17928249284,0.187923715069,0.186078457581,0.183255449769
4600,0.180317771101,0.189005612455,0.187166386898,0.184356630083
4700,0.18133306057,0.190069542388,0.188235867491,0.185437564927
4800,0.182329708806,0.191113932714,0.189287059782,0.186501077758
4900,0.183309897571,0.192138847605,0.190318872891,0.187545821017
5000,0.184274108136,0.193144222889,0.191331916428,0.188571987213
5100,0.185221506298,0.194131662805,0.192326511241,0.189579544259
5200,0.186152444989,0.195103509538,0.193305192023,0.190569358446
5300,0.187067886751,0.196059795172,0.194267734182,0.191543868212
5400,0.187968505364,0.197000615963,0.195215356937,0.192502913134
5500,0.188854878353,0.197926774028,0.196147129831,0.193447487839
5600,0.18972735865,0.198840130282,0.197066357592,0.194376501445
5700,0.190586170849,0.199737508336,0.197972077679,0.195293130343
5800,0.191431058271,0.200617368124,0.198859381125,0.196195385278
5900,0.19226035251,0.201483014371,0.1997321181,0.19708008986
6000,0.193076171159,0.202335313368,0.200590962384,0.197950388395
6100,0.193881498098,0.203174136775,0.201437486127,0.198807243425
6200,0.194675852057,0.20400205137,0.202271015552,0.199651521237
6300,0.195458944272,0.204817870019,0.203094245775,0.200483510594
6400,0.196232282727,0.205622619433,0.203905283798,0.201305104496
6500,0.196994936964,0.206416909222,0.204706150959,0.202114859129
6600,0.197746939068,0.207200001437,0.205496494325,0.202914763748
6700,0.198488930733,0.207972826536,0.206275608033,0.203704882521
6800,0.199222644536,0.208736090383,0.207045096319,0.204484284991
6900,0.199947117934,0.209488830436,0.207804959184,0.205254575396
7000,0.200661612978,0.210231078779,0.208554330339,0.20601517621
7100,0.201367252635,0.210962771244,0.209293370209,0.20676579867
7200,0.202062881853,0.21168499871,0.210021918368,0.207506154013
7300,0.202748725225,0.212397664924,0.210741514886,0.208236563088
7400,0.203424975261,0.213100673632,0.211451293474,0.208957667588
7500,0.204091920723,0.213794441935,0.212151959996,0.20966943543
7600,0.204751358356,0.214478841495,0.212843546537,0.210371866612
7700,0.205402518126,0.215155540717,0.213526149351,0.211065602831
7800,0.20604584922,0.21582351289,0.214200859319,0.211750355322
7900,0.206681608316,0.216483046777,0.214867451849,0.212428113341
8000,0.20731018043,0.217134270717,0.215525830685,0.213096887633
8100,0.207932078918,0.217776703438,0.216175674981,0.213757993672
8200,0.208547752968,0.218410794127,0.216817016821,0.214410950188
8300,0.209156015443,0.219038884971,0.217450337477,0.215055179654
8400,0.209756994682,0.219660494697,0.218077947049,0.215691259597
8500,0.210351589058,0.220275462882,0.218698818826,0.216320890508
8600,0.210939894825,0.220883564933,0.219313434079,0.216944874505
8700,0.211520789018,0.221484319579,0.219921247367,0.217562537808
8800,0.212095330432,0.222078176006,0.22052177742,0.21817423335
8900,0.212664128678,0.222665358807,0.221115537593,0.218778581486
9000,0.213226253299,0.223247568474,0.221702848733,0.219376641014
9100,0.213782795175,0.223822623244,0.2222850584,0.219967770238
9200,0.214333882645,0.224392480287,0.222860081086,0.220552739193
9300,0.214879387371,0.224956497907,0.223429938128,0.221132959606
9400,0.215419918963,0.225515029037,0.223994019918,0.221706313885
9500,0.215955637844,0.226068554948,0.224552615217,0.222275144216
9600,0.216486608183,0.226617171893,0.225106365721,0.222838070955
9700,0.217013407506,0.227160976128,0.225655014752,0.223396056644
9800,0.217535169526,0.227699325957,0.226199236088,0.223948780437
9900,0.218052535936,0.228232285551,0.226737906765,0.224497301128
10000,0.218564544195,0.228761298721,0.227271251375,0.225041041193
