q,chkexact,chkall,chkbl,chkaop
6200,0.256644741668,0.266645475218,0.266254248478,0.264615986503
6300,0.259089908795,0.269090642345,0.268699415605,0.26706115363
6400,0.261535075922,0.271535809473,0.271144582732,0.269506320757
6500,0.26398024305,0.2739809766,0.273589749859,0.271951487884
6600,0.266425410177,0.276426143727,0.276034916987,0.274396655011
6700,0.268870577304,0.278871310854,0.278480084114,0.276841822139
6800,0.271315744431,0.281316477981,0.280925251241,0.279286989266
6900,0.273760911558,0.283761645108,0.283370418368,0.281732156393
7000,0.276206078686,0.286206812236,0.285815585495,0.28417732352
7100,0.278651245813,0.288651979363,0.288260752622,0.286622490647
7200,0.28109641294,0.29109714649,0.29070591975,0.289067657774
7300,0.283541580067,0.293542313617,0.293151086877,0.291512824902
7400,0.285986747194,0.295987480744,0.295596254004,0.293957992029
7500,0.288431914321,0.298432647872,0.298041421131,0.296403159156
7600,0.290877081449,0.300877814999,0.300486588258,0.298848326283
7700,0.293322248576,0.303322982126,0.302931755386,0.30129349341
7800,0.295767415703,0.305768149253,0.305376922513,0.303738660537
7900,0.29821258283,0.30821331638,0.30782208964,0.306183827665
8000,0.300657749957,0.310658483507,0.310267256767,0.308628994792
8100,0.303102917084,0.313103650635,0.312712423894,0.311074161919
8200,0.305548084212,0.315548817762,0.315157591021,0.313519329046
8300,0.307993251339,0.317993984889,0.317602758149,0.315964496173
8400,0.310438418466,0.320439152016,0.320047925276,0.318409663301
8500,0.312883585593,0.322884319143,0.322493092403,0.320854830428
8600,0.31532875272,0.32532948627,0.32493825953,0.323299997555
8700,0.317773919847,0.327774653398,0.327383426657,0.325745164682
8800,0.320219086975,0.330219820525,0.329828593784,0.328190331809
8900,0.322664254102,0.332664987652,0.332273760912,0.330635498936
9000,0.325109421229,0.335110154779,0.334718928039,0.333080666064
9100,0.327554588356,0.337555321906,0.337164095166,0.335525833191
9200,0.329999755483,0.340000489033,0.339609262293,0.337971000318
9300,0.332444922611,0.342445656161,0.34205442942,0.340416167445
9400,0.334890089738,0.344890823288,0.344499596547,0.342861334572
9500,0.337335256865,0.347335990415,0.346944763675,0.345306501699
9600,0.339780423992,0.349781157542,0.349389930802,0.347751668827
9700,0.342225591119,0.352226324669,0.351835097929,0.350196835954
9800,0.344670758246,0.354671491797,0.354280265056,0.352642003081
9900,0.347115925374,0.357116658924,0.356725432183,0.355087170208
10000,0.349561092501,0.359561826051,0.359170599311,0.357532337335
